action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,month,time_remaining,home_play
Jump Shot,Jump Shot,"(48.8, 68.72]","(89.6, 123.0]",1,0,2006-07,11,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,LAC,4,66,0
Jump Shot,Jump Shot,"(-250.498, -230.08]","(-10.6, 22.8]",2,0,2006-07,23,0.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,LAC,4,507,0
Turnaround Jump Shot,Jump Shot,"(-90.64, -70.72]","(22.8, 56.2]",2,0,2006-07,8,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,LAC,4,474,0
Fadeaway Jump Shot,Jump Shot,"(-90.64, -70.72]","(56.2, 89.6]",2,0,2006-07,11,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,LAC,4,442,0
Jump Shot,Jump Shot,"(68.72, 88.64]","(123.0, 156.4]",2,0,2006-07,16,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,LAC,4,362,0
Finger Roll Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,349,0
Jump Shot,Jump Shot,"(168.32, 188.24]","(22.8, 56.2]",2,0,2006-07,17,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,LAC,4,190,0
Turnaround Jump Shot,Jump Shot,"(-10.96, 8.96]","(56.2, 89.6]",2,0,2006-07,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,4,137,0
Jump Shot,Jump Shot,"(-130.48, -110.56]","(89.6, 123.0]",2,0,2006-07,16,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,LAC,4,88,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(156.4, 189.8]",3,0,2006-07,19,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,LAC,4,630,0
Jump Shot,Jump Shot,"(-150.4, -130.48]","(123.0, 156.4]",3,0,2006-07,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,LAC,4,567,0
Jump Shot,Jump Shot,"(-90.64, -70.72]","(89.6, 123.0]",3,0,2006-07,13,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,LAC,4,341,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,280,0
Layup Shot,Layup,"(-30.88, -10.96]","(-10.6, 22.8]",3,0,2006-07,2,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,150,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,1,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(223.2, 256.6]",4,0,2006-07,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,LAC,4,698,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(56.2, 89.6]",4,0,2006-07,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,4,684,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,646,0
Fadeaway Jump Shot,Jump Shot,"(128.48, 148.4]","(156.4, 189.8]",4,0,2006-07,22,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,LAC,4,491,0
Running Jump Shot,Jump Shot,"(28.88, 48.8]","(56.2, 89.6]",4,0,2006-07,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,4,411,0
Jump Shot,Jump Shot,"(148.4, 168.32]","(-10.6, 22.8]",4,0,2006-07,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,LAC,4,383,0
Jump Shot,Jump Shot,"(-30.88, -10.96]","(189.8, 223.2]",4,0,2006-07,20,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,LAC,4,276,0
Turnaround Jump Shot,Jump Shot,"(8.96, 28.88]","(22.8, 56.2]",4,0,2006-07,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,4,212,0
Jump Shot,Jump Shot,"(-90.64, -70.72]","(256.6, 290.0]",4,0,2006-07,27,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,LAC,4,19,0
Jump Shot,Jump Shot,"(28.88, 48.8]","(189.8, 223.2]",1,0,2006-07,21,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,SEA,4,624,0
Jump Shot,Jump Shot,"(-190.24, -170.32]","(56.2, 89.6]",1,0,2006-07,19,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SEA,4,352,0
Running Jump Shot,Jump Shot,"(-50.8, -30.88]","(56.2, 89.6]",1,0,2006-07,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SEA,4,312,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SEA,4,273,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(-10.6, 22.8]",1,0,2006-07,11,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SEA,4,172,0
Fadeaway Jump Shot,Jump Shot,"(-130.48, -110.56]","(123.0, 156.4]",2,0,2006-07,18,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SEA,4,632,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SEA,4,540,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SEA,4,239,0
Slam Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SEA,4,199,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(89.6, 123.0]",3,0,2006-07,18,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SEA,4,603,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(22.8, 56.2]",3,0,2006-07,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SEA,4,406,0
Jump Shot,Jump Shot,"(-190.24, -170.32]","(156.4, 189.8]",3,0,2006-07,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,SEA,4,393,0
Running Jump Shot,Jump Shot,"(28.88, 48.8]","(22.8, 56.2]",3,0,2006-07,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SEA,4,351,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(189.8, 223.2]",3,0,2006-07,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,SEA,4,0,0
Jump Shot,Jump Shot,"(88.64, 108.56]","(156.4, 189.8]",4,0,2006-07,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SEA,4,326,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(189.8, 223.2]",4,0,2006-07,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,SEA,4,137,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(156.4, 189.8]",4,0,2006-07,20,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SEA,4,99,0
Jump Shot,Jump Shot,"(88.64, 108.56]","(123.0, 156.4]",4,0,2006-07,16,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SEA,4,63,0
Jump Bank Shot,Jump Shot,"(28.88, 48.8]","(56.2, 89.6]",1,0,2006-07,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,PHX,4,534,1
Jump Shot,Jump Shot,"(108.56, 128.48]","(156.4, 189.8]",1,0,2006-07,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,PHX,4,512,1
Jump Shot,Jump Shot,"(-30.88, -10.96]","(22.8, 56.2]",1,0,2006-07,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,PHX,4,320,1
Jump Shot,Jump Shot,"(108.56, 128.48]","(123.0, 156.4]",1,0,2006-07,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,PHX,4,92,1
Jump Shot,Jump Shot,"(-150.4, -130.48]","(223.2, 256.6]",2,0,2006-07,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,PHX,4,37,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,568,1
Jump Shot,Jump Shot,"(-150.4, -130.48]","(123.0, 156.4]",3,0,2006-07,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,PHX,4,476,1
Alley Oop Layup shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,405,1
Jump Shot,Jump Shot,"(-90.64, -70.72]","(89.6, 123.0]",3,0,2006-07,14,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,PHX,4,333,1
Jump Shot,Jump Shot,"(68.72, 88.64]","(56.2, 89.6]",3,0,2006-07,11,0.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,PHX,4,293,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,61,1
Reverse Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,27,1
Jump Shot,Jump Shot,"(8.96, 28.88]","(390.2, 423.6]",3,0,2006-07,40,0.0,3PT Field Goal,Back Court(BC),Above the Break 3,Back Court Shot,PHX,4,0,1
Jump Shot,Jump Shot,"(68.72, 88.64]","(123.0, 156.4]",4,0,2006-07,16,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,PHX,4,632,1
Jump Shot,Jump Shot,"(-30.88, -10.96]","(189.8, 223.2]",4,0,2006-07,19,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,PHX,4,567,1
Turnaround Jump Shot,Jump Shot,"(28.88, 48.8]","(89.6, 123.0]",4,0,2006-07,10,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,PHX,4,554,1
Jump Shot,Jump Shot,"(28.88, 48.8]","(56.2, 89.6]",4,0,2006-07,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,PHX,4,452,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,432,1
Jump Shot,Jump Shot,"(-30.88, -10.96]","(189.8, 223.2]",4,0,2006-07,20,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,PHX,4,407,1
Jump Shot,Jump Shot,"(-170.32, -150.4]","(223.2, 256.6]",4,0,2006-07,28,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,PHX,4,284,1
Reverse Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,236,1
Jump Shot,Jump Shot,"(88.64, 108.56]","(223.2, 256.6]",4,0,2006-07,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,PHX,4,213,1
Reverse Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,55,1
Jump Shot,Jump Shot,"(-150.4, -130.48]","(189.8, 223.2]",4,0,2006-07,25,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,PHX,4,4,1
Turnaround Jump Shot,Jump Shot,"(48.8, 68.72]","(123.0, 156.4]",1,0,2006-07,14,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,DEN,4,179,0
Driving Finger Roll Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,4,101,0
Jump Shot,Jump Shot,"(188.24, 208.16]","(123.0, 156.4]",1,0,2006-07,24,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DEN,4,93,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,4,57,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(123.0, 156.4]",2,0,2006-07,16,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,DEN,4,692,0
Jump Shot,Jump Shot,"(-210.16, -190.24]","(89.6, 123.0]",2,0,2006-07,22,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DEN,4,656,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(123.0, 156.4]",2,0,2006-07,19,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,4,561,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(123.0, 156.4]",2,0,2006-07,17,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,4,527,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,4,390,0
Jump Shot,Jump Shot,"(168.32, 188.24]","(-44.835, -10.6]",3,0,2006-07,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DEN,4,518,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(123.0, 156.4]",3,0,2006-07,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,4,286,0
Jump Shot,Jump Shot,"(208.16, 228.08]","(-10.6, 22.8]",3,0,2006-07,22,0.0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,DEN,4,220,0
Jump Shot,Jump Shot,"(28.88, 48.8]","(89.6, 123.0]",3,0,2006-07,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,DEN,4,38,0
Jump Shot,Jump Shot,"(88.64, 108.56]","(123.0, 156.4]",4,0,2006-07,17,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,4,706,0
Jump Shot,Jump Shot,"(-150.4, -130.48]","(123.0, 156.4]",4,0,2006-07,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,DEN,4,499,0
Jump Shot,Jump Shot,"(168.32, 188.24]","(123.0, 156.4]",4,0,2006-07,22,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,4,465,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,4,456,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,4,430,0
Jump Shot,Jump Shot,"(68.72, 88.64]","(156.4, 189.8]",4,0,2006-07,19,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,4,378,0
Jump Shot,Jump Shot,"(168.32, 188.24]","(22.8, 56.2]",4,0,2006-07,17,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DEN,4,309,0
Jump Shot,Jump Shot,"(188.24, 208.16]","(-44.835, -10.6]",4,0,2006-07,19,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DEN,4,206,0
Jump Shot,Jump Shot,"(148.4, 168.32]","(123.0, 156.4]",4,0,2006-07,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,4,196,0
Running Jump Shot,Jump Shot,"(-230.08, -210.16]","(156.4, 189.8]",4,0,2006-07,27,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DEN,4,2,0
Driving Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,557,1
Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,447,1
Jump Bank Shot,Jump Shot,"(-110.56, -90.64]","(22.8, 56.2]",1,0,2006-07,10,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,LAC,4,379,1
Jump Shot,Jump Shot,"(-150.4, -130.48]","(-10.6, 22.8]",1,0,2006-07,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,LAC,4,346,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,72,1
Jump Shot,Jump Shot,"(-90.64, -70.72]","(123.0, 156.4]",1,0,2006-07,16,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,LAC,4,37,1
Jump Shot,Jump Shot,"(68.72, 88.64]","(156.4, 189.8]",2,0,2006-07,17,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,LAC,4,673,1
Jump Shot,Jump Shot,"(-130.48, -110.56]","(156.4, 189.8]",2,0,2006-07,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,LAC,4,345,1
Jump Shot,Jump Shot,"(-190.24, -170.32]","(-10.6, 22.8]",2,0,2006-07,17,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,LAC,4,272,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,238,1
Slam Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,189,1
Jump Shot,Jump Shot,"(-90.64, -70.72]","(123.0, 156.4]",2,0,2006-07,17,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,LAC,4,79,1
Turnaround Jump Shot,Jump Shot,"(-90.64, -70.72]","(89.6, 123.0]",2,0,2006-07,12,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,LAC,4,55,1
Jump Shot,Jump Shot,"(-170.32, -150.4]","(-10.6, 22.8]",2,0,2006-07,16,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,LAC,4,28,1
Jump Shot,Jump Shot,"(-170.32, -150.4]","(-10.6, 22.8]",3,0,2006-07,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,LAC,4,542,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,4,526,1
Jump Shot,Jump Shot,"(148.4, 168.32]","(156.4, 189.8]",3,0,2006-07,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,LAC,4,506,1
Jump Shot,Jump Shot,"(-150.4, -130.48]","(189.8, 223.2]",3,0,2006-07,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,LAC,4,460,1
Jump Shot,Jump Shot,"(-110.56, -90.64]","(156.4, 189.8]",3,0,2006-07,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,LAC,4,311,1
Jump Shot,Jump Shot,"(148.4, 168.32]","(-10.6, 22.8]",3,0,2006-07,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,LAC,4,61,1
Jump Shot,Jump Shot,"(-210.16, -190.24]","(89.6, 123.0]",4,0,2006-07,22,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,LAC,4,678,1
Jump Shot,Jump Shot,"(128.48, 148.4]","(189.8, 223.2]",4,0,2006-07,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,LAC,4,618,1
Jump Shot,Jump Shot,"(-210.16, -190.24]","(89.6, 123.0]",4,0,2006-07,21,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,LAC,4,451,1
Jump Shot,Jump Shot,"(108.56, 128.48]","(123.0, 156.4]",4,0,2006-07,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,LAC,4,322,1
Turnaround Jump Shot,Jump Shot,"(168.32, 188.24]","(-10.6, 22.8]",4,0,2006-07,17,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,LAC,4,131,1
Running Jump Shot,Jump Shot,"(-30.88, -10.96]","(56.2, 89.6]",4,0,2006-07,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,4,113,1
Turnaround Jump Shot,Jump Shot,"(-150.4, -130.48]","(123.0, 156.4]",1,0,2006-07,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,PHX,4,641,0
Jump Shot,Jump Shot,"(-190.24, -170.32]","(56.2, 89.6]",1,0,2006-07,19,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,PHX,4,615,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,495,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,456,0
Jump Shot,Jump Shot,"(-130.48, -110.56]","(156.4, 189.8]",1,0,2006-07,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,PHX,4,366,0
Running Jump Shot,Jump Shot,"(-10.96, 8.96]","(56.2, 89.6]",1,0,2006-07,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,PHX,4,309,0
Jump Shot,Jump Shot,"(168.32, 188.24]","(189.8, 223.2]",1,0,2006-07,27,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,PHX,4,284,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(56.2, 89.6]",1,0,2006-07,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,PHX,4,179,0
Jump Shot,Jump Shot,"(-210.16, -190.24]","(189.8, 223.2]",1,0,2006-07,27,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,PHX,4,11,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(390.2, 423.6]",1,0,2006-07,39,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,PHX,4,0,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(123.0, 156.4]",2,0,2006-07,18,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,PHX,4,675,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(89.6, 123.0]",2,0,2006-07,11,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,PHX,4,228,0
Reverse Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2006-07,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,45,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,PHX,4,43,0
Jump Shot,Jump Shot,"(-210.16, -190.24]","(156.4, 189.8]",3,0,2006-07,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,PHX,4,497,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(156.4, 189.8]",3,0,2006-07,17,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,PHX,4,340,0
Jump Shot,Jump Shot,"(-130.48, -110.56]","(123.0, 156.4]",3,0,2006-07,17,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,PHX,4,303,0
Jump Shot,Jump Shot,"(148.4, 168.32]","(56.2, 89.6]",4,0,2006-07,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,PHX,4,489,0
Jump Shot,Jump Shot,"(148.4, 168.32]","(22.8, 56.2]",4,0,2006-07,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,PHX,4,353,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(89.6, 123.0]",4,0,2006-07,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,PHX,4,276,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(89.6, 123.0]",4,0,2006-07,11,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,PHX,4,258,0
Jump Shot,Jump Shot,"(188.24, 208.16]","(156.4, 189.8]",4,0,2006-07,26,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,PHX,4,36,0
Jump Shot,Jump Shot,"(168.32, 188.24]","(156.4, 189.8]",4,0,2006-07,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,PHX,4,27,0
Jump Shot,Jump Shot,"(-150.4, -130.48]","(89.6, 123.0]",4,0,2006-07,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,PHX,4,5,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(156.4, 189.8]",1,0,2006-07,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SEA,4,672,1
Jump Shot,Jump Shot,"(-170.32, -150.4]","(189.8, 223.2]",1,0,2006-07,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,SEA,4,564,1
Turnaround Jump Shot,Jump Shot,"(88.64, 108.56]","(-10.6, 22.8]",1,0,2006-07,9,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SEA,4,532,1
Reverse Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SEA,4,460,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2006-07,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SEA,4,342,1
